n_cycles,cycle_len,variance,,RE,gamma,n_cycles,nominator,variance,RE,gamma,prob,CI lower,,CI upper,,RE,,,,,cover,,cover,quantile,,CI lower,CI upper,RE,,cover,cover,,
100000,0.82035,0.004644412,,0.0056615,19.774,100000,0.00081044,1.24E-05,0.01529726,19.774,0.00098792,0.000956336,0.000895027,0.001019504,0.001080813,0.016311308,,1.61143E-05,2.59761E-10,2.5967E-10,TRUE,1,1,19.73885148,0.001235418,19.66790688,19.80979607,0.001833755,,TRUE,1,0,1
100000,0.83716,0.004677118,,0.005586886,19.774,100000,0.000812442,1.29E-05,0.015865156,19.774,0.000970474,0.00093848,0.000877581,0.001002468,0.001063367,0.016820121,,1.63235E-05,2.66842E-10,2.66456E-10,TRUE,1,1,19.69894329,0.00563351,19.6195784,19.77830818,0.002055557,,TRUE,1,0,1
100000,0.82777,0.004664126,,0.005634567,19.774,100000,0.000827909,1.52E-05,0.018337418,19.774,0.001000168,0.000962562,0.000907275,0.001037774,0.001093061,0.019183568,,1.91868E-05,3.68944E-10,3.68133E-10,TRUE,1,1,19.77466936,4.48043E-07,19.7013154,19.84802332,0.001892598,,TRUE,1,0,1
100000,0.83503,0.004747562,,0.005685499,19.774,100000,0.000832327,2.24E-05,0.026919585,19.774,0.000996763,0.000943012,0.00090387,0.001050515,0.001089656,0.027513432,,2.74244E-05,7.51717E-10,7.52096E-10,TRUE,1,1,19.76050336,0.000182159,19.68332059,19.83768612,0.001992812,,TRUE,1,0,1
100000,0.83342,0.004731375,,0.00567706,19.774,100000,0.000828799,1.75E-05,0.021164913,19.774,0.000994456,0.000951744,0.000901563,0.001037167,0.001087349,0.021913068,,2.17916E-05,4.72781E-10,4.74873E-10,TRUE,1,1,19.76660452,5.46931E-05,19.69395321,19.83925583,0.001875233,,TRUE,1,0,1
100000,0.83992,0.004751583,,0.005657186,19.774,100000,0.000809659,1.36E-05,0.016741979,19.774,0.000963972,0.000930583,0.000871079,0.000997361,0.001056865,0.017671945,,1.70353E-05,2.91921E-10,2.902E-10,FALSE,1,0,19.69401899,0.006396962,19.61736053,19.77067745,0.001985956,,FALSE,0,1,1
100000,0.83133,0.00469651,,0.005649393,19.774,100000,0.000792287,1.36E-05,0.017172155,19.774,0.000953036,0.000919268,0.000860143,0.000986803,0.001045929,0.01807757,,1.72286E-05,2.96616E-10,2.96824E-10,FALSE,1,0,19.65682831,0.013729205,19.58532251,19.72833412,0.001855974,,FALSE,0,1,1
100000,0.83423,0.004706368,,0.005641572,19.774,100000,0.000832338,2.72E-05,0.032635715,19.774,0.000997732,0.000932965,0.000904839,0.001062499,0.001090625,0.033119741,,3.30446E-05,1.09476E-09,1.09195E-09,TRUE,1,1,19.76980376,1.76084E-05,19.69772647,19.84188106,0.001860116,,TRUE,1,0,1
100000,0.83285,0.004789124,,0.005750284,19.774,100000,0.000835778,2.00E-05,0.023988639,19.774,0.001003516,0.000954996,0.000910623,0.001052036,0.001096409,0.024668209,,2.47549E-05,6.09967E-10,6.12807E-10,TRUE,1,1,19.78581948,0.0001397,19.7084657,19.86317326,0.001994672,,TRUE,1,0,1
100000,0.83754,0.00474473,,0.005665079,19.774,100000,0.000802787,1.24E-05,0.015448208,19.774,0.000958505,0.000927593,0.000865612,0.000989417,0.001051398,0.016454186,,1.57714E-05,2.48681E-10,2.48738E-10,FALSE,1,0,19.66692678,0.011464674,19.59918738,19.73466618,0.001757312,,FALSE,0,1,1
100000,0.83144,0.004729511,,0.005688337,19.774,100000,0.00082058,1.41E-05,0.017199259,19.774,0.000986938,0.000951896,0.000894045,0.001021981,0.001079831,0.01811551,,1.78789E-05,3.19109E-10,3.19655E-10,TRUE,1,1,19.73720349,0.001353983,19.66175127,19.81265572,0.00195043,,TRUE,1,0,1
